,GPStime,snr,centralFreq,confidence,label
325,1257105582.406,10.877,3872.13,0.997,Low_Frequency_Lines
326,1257107211.438,7.681,83.521,1.0,Low_Frequency_Lines
327,1257108430.453,7.607,1517.998,0.992,Air_Compressor
328,1257108684.688,12.677,3471.328,1.0,Blip
329,1257110813.27,7.65,294.927,0.997,Whistle
330,1257111191.406,16.808,3983.241,0.996,Low_Frequency_Burst
331,1257115194.563,7.727,3945.854,0.999,Low_Frequency_Lines
332,1257115825.664,7.542,2666.003,0.993,Air_Compressor
333,1257117188.031,9.025,3728.798,0.978,Low_Frequency_Burst
334,1257117523.156,16.085,3990.298,0.957,Power_Line
335,1257119186.488,8.102,51.198,0.928,Tomte
336,1257123803.281,10.135,3983.241,0.904,Low_Frequency_Lines
337,1257126459.859,7.59,52.326,0.999,Air_Compressor
338,1257127902.594,11.907,195.12,0.995,Low_Frequency_Lines
339,1257128237.656,10.743,1714.874,0.904,Low_Frequency_Lines
340,1257130054.906,12.222,34.505,0.993,Low_Frequency_Burst
341,1257131599.844,10.057,3983.241,0.926,Low_Frequency_Lines
342,1257134505.004,7.564,61.788,0.993,Air_Compressor
343,1257135437.781,8.545,3582.116,0.966,Low_Frequency_Lines
344,1257136160.086,19.619,3393.298,0.998,Extremely_Loud
345,1257142128.891,8.691,3764.125,1.0,Low_Frequency_Burst
346,1257143481.281,9.924,320.622,0.989,Low_Frequency_Burst
347,1257143631.406,8.348,3983.241,0.999,Low_Frequency_Burst
348,1257145434.906,9.04,23.057,0.958,Low_Frequency_Burst
349,1257146606.281,8.626,3908.818,0.995,Low_Frequency_Burst
350,1257147726.781,9.364,3908.818,0.993,Low_Frequency_Lines
351,1257148781.516,18.725,3298.676,0.927,Low_Frequency_Burst
352,1257171600.422,9.248,3945.854,0.993,Low_Frequency_Burst
353,1257171933.266,8.479,2720.609,0.972,Low_Frequency_Burst
354,1257172768.469,20.079,3983.241,1.0,Low_Frequency_Burst
355,1257173594.424,1089.28,2706.379,1.0,Extremely_Loud
356,1257173936.094,11.435,23.057,0.999,Low_Frequency_Burst
357,1257173991.031,8.184,20.195,0.997,Low_Frequency_Lines
