,GPStime,snr,centralFreq,confidence,label
280,1238462027.469,9.007,25.191,0.987,Scattered_Light
281,1238462095.453,9.008,3133.541,0.975,Scattered_Light
282,1238462112.281,12.02,3240.109,1.0,Scattered_Light
283,1238462206.828,9.235,3060.086,1.0,Scattered_Light
284,1238462315.469,9.004,42.448,1.0,Scattered_Light
285,1238462404.156,8.553,28.467,0.992,Scattered_Light
286,1238462893.031,11.214,295.994,0.995,Scattered_Light
287,1238463232.688,7.827,27.338,0.996,Low_Frequency_Lines
288,1238463409.219,10.418,3251.529,0.983,Scattered_Light
289,1238463483.281,9.391,295.349,0.995,Low_Frequency_Lines
290,1238463518.039,8.154,3944.016,0.999,Whistle
291,1238463788.449,580.082,1928.011,0.996,Extremely_Loud
292,1238464158.938,8.634,572.654,0.999,Low_Frequency_Lines
293,1238464308.594,13.421,1267.535,0.901,Low_Frequency_Burst
294,1238464398.656,8.21,3703.979,0.996,Low_Frequency_Lines
295,1238464580.375,10.619,3201.357,0.999,Low_Frequency_Lines
296,1238465451.031,10.013,3881.874,0.938,Scattered_Light
297,1238465635.125,27.934,2741.265,0.928,Scattered_Light
298,1238465645.875,19.057,2378.556,0.996,Low_Frequency_Lines
299,1238465981.191,7.824,292.571,0.983,Whistle
300,1238466044.375,21.893,3409.167,0.923,Low_Frequency_Lines
301,1238466139.875,12.516,3410.243,0.957,Low_Frequency_Lines
302,1238466140.375,14.723,220.397,0.926,Low_Frequency_Lines
303,1238466177.406,15.203,3872.13,1.0,Scattered_Light
304,1238466544.031,8.952,3881.874,0.99,Low_Frequency_Lines
305,1238466702.781,11.549,3815.341,1.0,Scattered_Light
306,1238467132.719,8.742,26.59,0.999,Low_Frequency_Burst
307,1238467397.656,20.753,1665.179,0.924,Scattered_Light
308,1238467545.219,11.416,30.952,1.0,Scattered_Light
309,1238467640.781,14.046,46.394,1.0,Scattered_Light
310,1238467966.813,8.867,25.929,0.995,Scattered_Light
311,1238468007.578,10.551,1898.219,1.0,Low_Frequency_Burst
312,1238468013.735,10.469,146.888,1.0,Blip
313,1238468325.328,14.461,3681.25,0.957,Scattered_Light
314,1238468359.094,8.971,25.836,0.903,Low_Frequency_Lines
315,1238468500.109,8.202,2398.222,0.998,Low_Frequency_Burst
316,1238468635.219,9.472,23.057,0.998,Low_Frequency_Burst
317,1238468728.719,9.552,2343.405,0.994,Scattered_Light
318,1238469313.969,8.307,19.406,0.988,Low_Frequency_Lines
319,1238469330.094,17.181,2835.305,1.0,Scattered_Light
320,1238469332.516,7.678,2082.296,0.962,Scattered_Light
321,1238469381.719,10.286,134.715,0.949,Scattered_Light
322,1238469510.094,12.69,3983.241,1.0,Scattered_Light
323,1238469536.602,7.657,386.276,0.988,Whistle
324,1238469808.094,8.411,19.406,0.992,Low_Frequency_Lines
325,1238469823.719,15.761,3813.464,1.0,Scattered_Light
326,1238470131.031,10.856,2964.093,0.999,Scattered_Light
327,1238470139.844,8.654,3983.241,0.999,Scattered_Light
328,1238470313.414,8.998,26.59,0.991,Low_Frequency_Burst
329,1238470419.828,8.046,27.338,0.984,Low_Frequency_Burst
330,1238470619.922,7.553,216.51,1.0,Low_Frequency_Burst
331,1238470649.391,8.007,44.176,0.912,Scattered_Light
332,1238470670.094,8.808,23.057,0.998,Scattered_Light
333,1238470789.117,8.642,479.315,0.925,Whistle
334,1238470817.594,8.08,20.838,0.99,Low_Frequency_Lines
335,1238471096.219,11.65,44.865,1.0,Scattered_Light
336,1238471345.531,11.556,3240.109,0.968,Low_Frequency_Burst
337,1238471401.969,11.562,3464.271,1.0,Scattered_Light
338,1238471616.406,10.509,2380.434,1.0,Scattered_Light
339,1238471805.728,8.825,217.263,1.0,Blip
340,1238471805.728,8.825,217.263,1.0,Blip
341,1238472005.192,19.884,3810.377,1.0,Blip
342,1238472010.105,7.645,3997.81,0.99,Whistle
343,1238472036.344,8.275,20.195,0.995,Low_Frequency_Burst
344,1238472036.344,8.275,20.195,0.995,Low_Frequency_Burst
345,1238472061.656,11.457,44.865,1.0,Scattered_Light
346,1238472116.844,11.173,30.952,0.995,Scattered_Light
347,1238472270.031,9.507,1142.876,0.938,Scattered_Light
348,1238472272.518,37.969,4041.092,0.959,Blip
349,1238472485.219,7.512,1707.97,0.998,Low_Frequency_Lines
350,1238472542.406,12.974,1299.963,1.0,Scattered_Light
351,1238472830.656,15.177,3908.818,0.999,Scattered_Light
352,1238473087.781,9.504,23.057,0.999,Low_Frequency_Burst
353,1238473228.094,8.564,185.49,0.994,Low_Frequency_Burst
354,1238473232.594,8.109,3551.692,0.981,Low_Frequency_Burst
355,1238473249.781,8.253,3983.241,0.967,Low_Frequency_Burst
356,1238473428.344,7.898,19.406,0.991,Low_Frequency_Lines
357,1238473663.844,8.193,1454.527,0.988,Scattered_Light
358,1238473825.93,7.651,482.803,0.991,Whistle
359,1238473891.469,9.359,105.007,0.947,Scattered_Light
360,1238473934.797,12.354,2973.802,0.998,Scattered_Light
361,1238473937.344,8.528,3886.069,1.0,Scattered_Light
362,1238474109.117,10.925,3594.454,0.961,Whistle
363,1238474222.531,10.371,3813.464,0.962,Low_Frequency_Burst
364,1238474367.594,8.386,3468.466,0.997,Scattered_Light
365,1238474533.094,10.824,1155.883,0.939,Low_Frequency_Burst
366,1238474765.894,11.453,211.877,1.0,Blip
367,1238474765.894,11.453,211.877,1.0,Blip
368,1238475006.813,15.674,3206.699,0.928,Scattered_Light
369,1238475035.656,7.803,3135.418,0.926,Scattered_Light
370,1238475348.156,9.339,30.654,0.953,Scattered_Light
371,1238475355.93,8.012,3803.355,0.912,Whistle
372,1238475483.055,8.162,294.279,0.954,Whistle
373,1238475483.055,8.162,294.279,0.954,Whistle
374,1238475724.039,8.815,4067.237,0.941,Whistle
375,1238475724.039,8.815,4067.237,0.941,Whistle
376,1238475763.281,11.166,3835.788,1.0,Low_Frequency_Burst
377,1238476846.109,8.217,3837.665,0.946,Scattered_Light
378,1238477256.945,8.243,3298.625,0.937,Whistle
379,1238477392.031,7.588,227.261,0.95,Low_Frequency_Burst
380,1238477644.664,7.948,1542.356,0.972,Whistle
381,1238477884.688,7.853,19.406,1.0,Low_Frequency_Lines
382,1238477922.297,11.535,625.862,1.0,Scattered_Light
383,1238477961.094,12.848,2834.458,0.996,Scattered_Light
384,1238479005.469,10.416,35.659,0.997,Low_Frequency_Burst
385,1238479158.469,8.883,23.057,0.943,Low_Frequency_Burst
386,1238479289.313,10.285,23.057,0.997,Low_Frequency_Lines
