GPStime,snr,label,Q-value
1256711073.918,7.862,Tomte,5.657
1256711192.293,10.042,Tomte,5.657
1256711328.332,8.309,Blip_Low_Frequency,5.657
1256711354.191,744.151,Koi_Fish,5.657
1256711534.105,15.591,Tomte,5.657
1256711557.296,89.906,Koi_Fish,5.657
1256711598.875,692.549,Koi_Fish,5.657
1256711642.738,30.332,Tomte,5.657
1256711724.668,12.374,Tomte,5.657
1256711801.011,577.644,Koi_Fish,5.657
1256711857.332,8.032,Tomte,5.657
1256711973.715,25.942,Tomte,5.657
1256712178.025,11.307,Tomte,5.657
1256712179.529,10.071,Blip_Low_Frequency,5.657
1256712292.918,20.532,Tomte,5.657
1256712635.832,10.857,Blip_Low_Frequency,5.657
1256712655.395,1487.045,Extremely_Loud,5.657
1256712688.105,11.061,Tomte,5.657
1256712805.227,125.774,Extremely_Loud,11.314
1256712858.43,8.492,Blip,5.657
1256713119.037,14.691,Tomte,5.657
1256713191.904,16.764,Blip,5.657
1256713475.707,12.661,Blip_Low_Frequency,5.657
1256713818.224,1181.592,Extremely_Loud,5.657
1256714317.59,9.552,Tomte,5.657
1256714357.523,28.811,Fast_Scattering,11.314
1256714430.035,11.446,Tomte,5.657
1256714503.699,29.608,Tomte,5.657
1256714616.492,8.645,Tomte,5.657
1256714791.018,10.453,Tomte,5.657
1256714961.809,11.112,Tomte,5.657
1256714969.035,13.471,Tomte,5.657
1256715248.194,295.376,Koi_Fish,5.657
1256715357.668,11.38,Tomte,5.657
1256715399.238,8.265,Blip_Low_Frequency,5.657
1256715491.277,8.113,Blip_Low_Frequency,5.657
1256715559.418,12.498,Tomte,5.657
1256715853.363,8.189,Tomte,5.657
1256715868.4,8.264,Tomte,5.657
1256716337.527,11.891,Tomte,5.657
1256716371.208,1061.989,Extremely_Loud,5.657
1256716679.629,528.218,Extremely_Loud,11.314
1256716714.816,61.621,Tomte,5.657
1256716744.113,32.338,Tomte,5.657
1256717409.301,18.343,Tomte,5.657
1256717682.496,14.072,Tomte,5.657
1256717807.363,17.622,Tomte,5.657
1256717946.293,18.012,Tomte,5.657
1256718244.574,11.381,Tomte,5.657
1256718476.03,97.478,Koi_Fish,5.657
1256718699.215,7.841,Blip_Low_Frequency,5.657
1256718834.02,10.291,Tomte,5.657
1256719215.855,9.46,Tomte,5.657
1256719326.652,11.622,Tomte,5.657
1256719358.34,14.935,Tomte,5.657
1256719579.488,10.202,Tomte,5.657
1256719728.012,29.958,Tomte,5.657
1256719840.277,14.286,Tomte,5.657
1256719866.59,8.437,Tomte,5.657
1256720300.146,10.787,Tomte,5.657
1256720363.957,8.844,Tomte,5.657
1256720365.996,16.085,Tomte,5.657
1256720443.152,18.521,Tomte,5.657
1256720452.059,18.865,Tomte,5.657
1256720470.676,8.554,Blip_Low_Frequency,5.657
1256720862.48,14.319,Tomte,5.657
1256720883.605,11.43,Tomte,5.657
1256720915.988,13.01,Tomte,5.657
1256721052.527,13.517,Tomte,5.657
1256721239.021,414.104,Extremely_Loud,5.657
1256721256.699,9.655,Blip_Low_Frequency,5.657
1256721259.684,12.575,Tomte,5.657
1256721276.434,8.698,Tomte,5.657
1256721367.152,18.36,Tomte,5.657
1256721446.949,11.929,Tomte,5.657
1256721686.66,8.659,Tomte,5.657
1256721713.473,7.541,Blip_Low_Frequency,5.657
1256721748.105,17.451,Tomte,5.657
1256722100.059,7.731,Blip_Low_Frequency,5.657
1256722114.879,22.714,Tomte,5.657
1256722640.785,14.45,Tomte,5.657
1256722660.233,7.952,Blip,5.657
1256722767.639,10.444,Tomte,5.657
1256722784.895,14.398,Tomte,5.657
1256722935.191,16.239,Tomte,5.657
1256723302.582,10.684,Tomte,5.657
1256723447.379,14.311,Tomte,5.657
1256723509.77,13.125,Tomte,5.657
1256723554.777,10.694,Tomte,5.657
1256723780.012,20.745,Tomte,5.657
1256723876.184,10.315,Tomte,5.657
1256723935.082,15.792,Tomte,5.657
1256724107.887,1183.424,Extremely_Loud,11.314
1256724226.098,10.22,Blip_Low_Frequency,5.657
1256724295.715,16.304,Tomte,5.657
1256724450.607,8.616,Blip_Low_Frequency,5.657
1256724558.863,18.455,Tomte,5.657
1256724799.457,8.287,Tomte,5.657
1256724834.674,8.539,Blip_Low_Frequency,5.657
1256724837.535,10.295,Tomte,5.657
1256724922.426,30.945,Tomte,5.657
1256725088.895,9.482,Tomte,5.657
1256725096.035,10.979,Tomte,5.657
1256725101.098,9.508,Tomte,5.657
1256725185.754,18.017,Tomte,5.657
1256725265.457,11.522,Tomte,5.657
1256725346.004,9.834,Tomte,5.657
1256725416.973,22.328,Tomte,5.657
1256725470.238,10.664,Tomte,5.657
1256725584.012,13.602,Tomte,5.657
1256725734.551,7.954,Tomte,5.657
1256725780.58,10.2,Tomte,5.657
1256725812.512,11.221,Blip_Low_Frequency,5.657
1256725886.856,206.808,Koi_Fish,5.657
1256726167.669,10.66,Blip,5.657
1256726208.319,699.641,Extremely_Loud,22.627
1256726257.488,11.791,Tomte,5.657
1256726290.176,16.004,Tomte,5.657
1256726295.322,10.084,Tomte,5.657
1256726304.777,10.335,Tomte,5.657
1256726373.465,7.711,Blip_Low_Frequency,5.657
1256726387.793,15.832,Tomte,5.657
1256726663.879,15.1,Tomte,5.657
1256726766.754,8.81,Blip_Low_Frequency,5.657
1256727106.629,21.151,Tomte,5.657
1256727209.187,16.369,Blip,5.657
1256727219.332,8.414,Tomte,5.657
1256727415.277,13.242,Tomte,5.657
1256727434.803,8.8,Blip_Low_Frequency,5.657
1256727461.591,7.528,Blip,5.657
1256727536.041,7.833,Blip_Low_Frequency,5.657
1256727731.645,12.463,Tomte,5.657
1256727800.367,707.195,Extremely_Loud,5.657
1256727996.465,16.722,Tomte,5.657
1256728159.98,28.599,Tomte,5.657
1256728402.043,48.089,Tomte,5.657
1256728465.637,10.368,Tomte,5.657
1256728489.129,19.435,Tomte,5.657
1256728497.459,7.645,Blip_Low_Frequency,5.657
1256728783.27,11.099,Tomte,5.657
1256728946.777,9.532,Tomte,5.657
1256728949.77,9.293,Blip_Low_Frequency,5.657
1256728991.027,15.518,Tomte,5.657
1256728997.066,12.664,Tomte,5.657
1256729256.351,8.974,Blip,5.657
1256729269.52,10.957,Tomte,5.657
1256729490.699,18.693,Tomte,5.657
1256729599.75,11.644,Low_Frequency_Lines,45.255
1256729746.672,7.969,Fast_Scattering,11.314
